feature,coef
num__Runs_Scored,2.365862225460363
num__Team_Won,1.996001302638248
num__Runs_Conceded,-1.7657414146577657
num__Overs_Bowled,1.6625012802758643
num__Balls_Faced,-1.0211310627069725
num__Run_Share,0.7784837019589447
num__Wickets_Total,0.7513615506561825
num__Economy_Rate,0.6416981347078777
num__Team_Total_Runs,-0.4135476773002828
num__Strike_Rate,-0.24958241131569922
num__Wicket_Impact,0.2456097845048076
num__Batter,0.24011564212740077
num__All_Rounder,-0.1733836810799943
num__Team_Total_Extras,0.1466313131893241
num__NoBalls_Thrown,-0.12049795374149942
num__Wkts_Bowled,0.10575229812279631
num__LegByes_Thrown,0.10425026837899079
num__Dot_Balls,-0.0928102720066904
num__Catches_Fielder,0.08842361586891186
num__Total_Returns,0.0739258950208958
num__Sixes_Hit,0.07386283253971614
num__Team_Batted_First,0.06651786975086171
num__RunOuts,0.039262944371741736
num__Stumpings,0.03024193608412655
num__NonStriker_Runs,-0.0216268654990887
num__Team_Home,-0.021349972585315003
num__Batted_Inns2,0.01574249807561267
num__Bowler,0.0
num__Batted_Inns1,0.0
num__Fours_Hit,0.0
num__Bowled_Catch,0.0
num__Legal_Deliveries,0.0
