model,top1,top3,mrr,ndcg3,group_logloss,brier,ece,cal_slope,cal_intercept,entropy_mean,mass_dev_ind,auc_roc,tp,fn,fp,tn,tpr,recall,sensitivity,fnr,fpr,tnr,prevalence,accuracy,f1,total_rows,total_matches
M4-RF(1200|leaf=2|mtry=sqrt),0.6753554502369669,0.9502369668246445,0.8093283033448909,0.8382375350541704,0.8367438844624414,0.01950770689672344,0.004485029956322665,1.3429324081285043,0.28836593610716055,1.0290488748305864,0.3149729930060945,0.977939151264829,283,139,139,8499,0.6706161137440758,0.6706161137440758,0.6706161137440758,0.3293838862559242,0.016091687890715443,0.9839083121092845,0.04657836644591611,0.9693156732891832,0.6706161137440758,9060,422
M2-Binomial(probit),0.6682464454976303,0.943127962085308,0.8054530580004511,0.8314387903943868,0.8644103627368416,0.020193720942097763,0.004314384700152476,1.299032175106283,0.27355011025661025,1.0507117021572827,0.32688103901136195,0.9770601958281988,282,140,140,8498,0.6682464454976303,0.6682464454976303,0.6682464454976303,0.33175355450236965,0.01620745542949757,0.9837925445705025,0.04657836644591611,0.9690949227373068,0.6682464454976303,9060,422
M1-L1,0.6824644549763034,0.933649289099526,0.8142010832769124,0.8341187187203857,0.8846068068776148,0.02024803773146935,0.007394564858210273,1.35830483033833,0.37764493770737845,1.168344039175197,0.3318999254023743,0.976889836487953,288,134,134,8504,0.6824644549763034,0.6824644549763034,0.6824644549763034,0.3175355450236967,0.015512850196804815,0.9844871498031952,0.04657836644591611,0.9704194260485651,0.6824644549763034,9060,422
M1-EN,0.6895734597156398,0.9360189573459715,0.8175581132927102,0.8376170148950639,0.8852889803017254,0.020253794202881474,0.007020130647233183,1.3614785256676052,0.381537052066856,1.1710047216689787,0.3326566011856725,0.9768574654699997,291,131,131,8507,0.6895734597156398,0.6895734597156398,0.6895734597156398,0.3104265402843602,0.01516554758045844,0.9848344524195416,0.04657836644591611,0.9710816777041943,0.6895734597156398,9060,422
M2-CondGLM(logit),0.6895734597156398,0.933649289099526,0.8174791243511621,0.8364321807718411,0.8855962785845345,0.020258680189199768,0.007041647688503046,1.3623704314938963,0.3824955255101417,1.171337214567829,0.33327492706708384,0.9768248201213858,291,131,131,8507,0.6895734597156398,0.6895734597156398,0.6895734597156398,0.3104265402843602,0.01516554758045844,0.9848344524195416,0.04657836644591611,0.9710816777041943,0.6895734597156398,9060,422
M1-L2,0.6895734597156398,0.933649289099526,0.8174791243511621,0.8364321807718411,0.8855962785845345,0.020258680189199768,0.007041647688503046,1.3623704314938963,0.3824955255101417,1.171337214567829,0.33327492706708384,0.9768248201213858,291,131,131,8507,0.6895734597156398,0.6895734597156398,0.6895734597156398,0.3104265402843602,0.01516554758045844,0.9848344524195416,0.04657836644591611,0.9710816777041943,0.6895734597156398,9060,422
M3-GAM,0.6729857819905213,0.9502369668246445,0.8092614533965242,0.837983481169607,0.9027315288470256,0.021088230711329994,0.0023568421319635066,1.0961881686738495,0.08919153449518136,0.981836781527439,0.3703440901311542,0.9740082672287886,284,138,138,8500,0.6729857819905213,0.6729857819905213,0.6729857819905213,0.32701421800947866,0.015975920351933317,0.9840240796480667,0.04657836644591611,0.9695364238410596,0.6729857819905213,9060,422
M2-Binomial(loglog),0.5758293838862559,0.8578199052132701,0.7298934849185753,0.7410249307549142,1.3083507921170092,0.02399971043027836,0.004227470730659385,0.8544947162285775,-0.153103907778704,1.1088203570125559,1.0986741069249604,0.9377409309026905,243,179,179,8459,0.5758293838862559,0.5758293838862559,0.5758293838862559,0.42417061611374407,0.020722389442000465,0.9792776105579996,0.04657836644591611,0.960485651214128,0.5758293838862559,9060,422
M2-Binomial(cloglog),0.556872037914692,0.7393364928909952,0.6672813917937025,0.6636172693805041,2.114788341485196,0.026333281759619128,0.00459041162496969,0.43977299364609407,-1.3194587754393368,1.510502981568163,0.4496743257410837,0.7637715363285121,235,187,187,8451,0.556872037914692,0.556872037914692,0.556872037914692,0.4431279620853081,0.021648529752257468,0.9783514702477425,0.04657836644591611,0.958719646799117,0.556872037914692,9060,422
M2-Binomial(cauchit),0.523696682464455,0.7369668246445498,0.6497543045063883,0.6514294389641205,3.603254975316961,0.02755951165388274,0.012582780273289206,0.16564410466499382,-1.5783459716268804,0.8041411328269141,0.6587677843317534,0.8364407681697427,226,196,196,8442,0.5355450236966824,0.5355450236966824,0.5355450236966824,0.46445497630331756,0.022690437601296597,0.9773095623987034,0.04657836644591611,0.9567328918322295,0.5355450236966824,9060,422
